INDEX Date,INDEX Price,ABB Date,ABB Price,Alfa laval AB Date,Alfa laval AB Price,Assa Abloy B Date,Assa Abloy B Price,AstraZeneca Date,AstraZeneca Price,Atlas Copco A Date,Atlas Copco A Price,Atlas Copco B Date,Atlas Copco B Price,Boliden Date,Boliden Price,Carlsberg B Date,Carlsberg B Price,Coloplast Date,Coloplast Price,Danske Bank Date,Danske Bank Price,DSV Date,DSV Price,EQT AB Date,EQT AB Price,Essity B Date,Essity B Price,Evolution AB Date,Evolution AB Price,Genmab Date,Genmab Price,H&M B Date,H&M B Price,Hexagon B Date,Hexagon B Price,Investor B Date,Investor B Price,KONE Oyj Date,KONE Oyj Price,LM Ericsson B Date,LM Ericsson B Price,Moller Maersk B Date,Moller Maersk B Price,Neste Oyj Date,Neste Oyj Price,NIBE Industrier B Date,NIBE Industrier B Price,Nokia Oyj Date,Nokia Oyj Price,Nordea Bank Date,Nordea Bank Price,Novo Nordisk B Date,Novo Nordisk B Price,Novozymes B Date,Novozymes B Price,Oersted AS Date,Oersted AS Price,Pandora Date,Pandora Price,SAAB B Date,SAAB B Price,Sampo Oyj A Date,Sampo Oyj A Price,Sandvik AB Date,Sandvik AB Price,SCA B Date,SCA B Price,SEB A Date,SEB A Price,Svenska Handelsbanken A Date,Svenska Handelsbanken A Price,Swedbank A Date,Swedbank A Price,UPM-Kymmene Date,UPM-Kymmene Price,Vestas Wind Date,Vestas Wind Price,Volvo B Date,Volvo B Price,Zealand Pharma Date,Zealand Pharma Price
1/2/2025,"2,526.85",1/2/2025,593.6,1/2/2025,469.8,1/2/2025,327.7,1/2/2025,"1,470.00",1/2/2025,171.2,1/2/2025,152,1/2/2025,314.3,1/2/2025,695.4,1/2/2025,782.8,1/2/2025,203.6,1/2/2025,"1,536.50",1/2/2025,308.6,1/2/2025,296.8,1/2/2025,871,1/2/2025,"1,530.50",1/2/2025,148.4,1/2/2025,106.2,1/2/2025,295.5,1/2/2025,47.64,1/2/2025,90.82,1/2/2025,"12,385",1/2/2025,12.54,1/2/2025,43.5,1/2/2025,4.323,1/2/2025,10.655,1/2/2025,638.7,1/2/2025,411.9,1/2/2025,336.3,1/2/2025,"1,320.00",1/2/2025,232.6,1/2/2025,39.79,1/2/2025,200.7,1/2/2025,141.9,1/2/2025,153,1/2/2025,116.2,1/2/2025,219.4,1/2/2025,27.12,1/2/2025,104.9,1/2/2025,269.4,1/2/2025,727.5
12/30/2024,"2,493.89",12/30/2024,595.4,12/30/2024,462.6,12/30/2024,326.8,12/30/2024,"1,446.50",12/30/2024,168.9,12/30/2024,149.5,12/30/2024,310.5,12/30/2024,690,12/30/2024,786.2,12/30/2024,203.7,12/30/2024,"1,529.00",12/30/2024,306.1,12/30/2024,295.7,12/30/2024,852.8,12/30/2024,"1,492.50",12/30/2024,149.1,12/30/2024,105.6,12/30/2024,292.7,12/30/2024,47,12/30/2024,89.88,12/30/2024,"11,905",12/30/2024,12.13,12/30/2024,43.2,12/30/2024,4.275,12/30/2024,10.5,12/30/2024,624.2,12/30/2024,407.7,12/30/2024,324.2,12/30/2024,"1,317.00",12/30/2024,233.7,12/30/2024,39.38,12/30/2024,198.3,12/30/2024,140.5,12/30/2024,151.45,12/30/2024,114.2,12/30/2024,218.3,12/30/2024,26.56,12/30/2024,98.1,12/30/2024,268.6,12/30/2024,715.5
12/27/2024,"2,513.08",12/27/2024,604.6,12/27/2024,464.7,12/27/2024,327.4,12/27/2024,"1,459.00",12/27/2024,170,12/27/2024,150.5,12/27/2024,312.9,12/27/2024,699.4,12/27/2024,794.8,12/27/2024,205.5,12/27/2024,"1,544.00",12/27/2024,310.2,12/27/2024,297,12/27/2024,853,12/27/2024,"1,507.50",12/27/2024,149.1,12/27/2024,106.1,12/27/2024,293.6,12/27/2024,47.2,12/27/2024,89.8,12/27/2024,"12,050",12/27/2024,11.78,12/27/2024,42.4,12/27/2024,4.294,12/27/2024,10.45,12/27/2024,635.9,12/27/2024,410.1,12/27/2024,330.3,12/27/2024,"1,328.50",12/27/2024,234.8,12/27/2024,39.13,12/27/2024,199.65,12/27/2024,139.6,12/27/2024,151.25,12/27/2024,113.95,12/27/2024,217.6,12/27/2024,26.57,12/27/2024,98.8,12/27/2024,268.4,12/27/2024,733.5
12/23/2024,"2,477.13",12/23/2024,604,12/23/2024,462,12/23/2024,326.7,12/23/2024,"1,454.00",12/23/2024,168.6,12/23/2024,149.1,12/23/2024,308.2,12/23/2024,683,12/23/2024,793.2,12/23/2024,200,12/23/2024,"1,513.00",12/23/2024,302.6,12/23/2024,294.6,12/23/2024,822.4,12/23/2024,"1,485.00",12/23/2024,149,12/23/2024,105.7,12/23/2024,291.2,12/23/2024,46.73,12/23/2024,89.22,12/23/2024,"11,850",12/23/2024,11.15,12/23/2024,42.2,12/23/2024,4.239,12/23/2024,10.3,12/23/2024,622.6,12/23/2024,408,12/23/2024,334.7,12/23/2024,"1,294.50",12/23/2024,235.1,12/23/2024,38.99,12/23/2024,198.7,12/23/2024,135.4,12/23/2024,149.45,12/23/2024,113.35,12/23/2024,215.7,12/23/2024,25.72,12/23/2024,98.7,12/23/2024,266.2,12/23/2024,720
12/20/2024,"2,438.16",12/20/2024,603.6,12/20/2024,465.5,12/20/2024,325.8,12/20/2024,"1,433.00",12/20/2024,170.1,12/20/2024,149.8,12/20/2024,306,12/20/2024,681.8,12/20/2024,797.2,12/20/2024,195.9,12/20/2024,"1,507.00",12/20/2024,304.8,12/20/2024,293.5,12/20/2024,915.2,12/20/2024,"1,462.00",12/20/2024,150.9,12/20/2024,105.6,12/20/2024,290.6,12/20/2024,47.15,12/20/2024,89.1,12/20/2024,"11,460",12/20/2024,11.23,12/20/2024,42.2,12/20/2024,4.224,12/20/2024,10.245,12/20/2024,589.2,12/20/2024,404.8,12/20/2024,332.6,12/20/2024,"1,274.50",12/20/2024,226.3,12/20/2024,39.01,12/20/2024,199,12/20/2024,135.4,12/20/2024,148.7,12/20/2024,112.05,12/20/2024,213.2,12/20/2024,25.66,12/20/2024,94.4,12/20/2024,267.7,12/20/2024,728
12/19/2024,"2,583.26",12/19/2024,598.2,12/19/2024,462.8,12/19/2024,325.9,12/19/2024,"1,423.00",12/19/2024,171.4,12/19/2024,151.7,12/19/2024,304.7,12/19/2024,691.4,12/19/2024,790.4,12/19/2024,201,12/19/2024,"1,496.00",12/19/2024,297.3,12/19/2024,295.6,12/19/2024,911.2,12/19/2024,"1,454.00",12/19/2024,148.5,12/19/2024,105.9,12/19/2024,290.4,12/19/2024,46.95,12/19/2024,89.22,12/19/2024,"11,500",12/19/2024,11.45,12/19/2024,42.1,12/19/2024,4.258,12/19/2024,10.465,12/19/2024,743.2,12/19/2024,403.7,12/19/2024,332.1,12/19/2024,"1,263.50",12/19/2024,224.9,12/19/2024,38.81,12/19/2024,200,12/19/2024,134.9,12/19/2024,151.2,12/19/2024,112.85,12/19/2024,216.2,12/19/2024,25.71,12/19/2024,96.8,12/19/2024,269.9,12/19/2024,756.5
12/18/2024,"2,640.74",12/18/2024,631.6,12/18/2024,472.7,12/18/2024,341.1,12/18/2024,"1,447.00",12/18/2024,177.1,12/18/2024,156.1,12/18/2024,319.1,12/18/2024,694.6,12/18/2024,801,12/18/2024,203.7,12/18/2024,"1,500.00",12/18/2024,322.5,12/18/2024,294.8,12/18/2024,927.6,12/18/2024,"1,486.50",12/18/2024,152.1,12/18/2024,106.4,12/18/2024,296.2,12/18/2024,47.75,12/18/2024,90.7,12/18/2024,"11,615",12/18/2024,11.68,12/18/2024,43.6,12/18/2024,4.284,12/18/2024,10.615,12/18/2024,771.6,12/18/2024,409.4,12/18/2024,338.6,12/18/2024,"1,271.00",12/18/2024,225.1,12/18/2024,38.97,12/18/2024,205.4,12/18/2024,137.9,12/18/2024,154.55,12/18/2024,113.65,12/18/2024,217.4,12/18/2024,25.77,12/18/2024,98.2,12/18/2024,275.6,12/18/2024,802.5
12/17/2024,"2,636.67",12/17/2024,634.6,12/17/2024,465.4,12/17/2024,338.8,12/17/2024,"1,465.00",12/17/2024,176.8,12/17/2024,155.6,12/17/2024,321.4,12/17/2024,702.2,12/17/2024,816.2,12/17/2024,203.6,12/17/2024,"1,516.50",12/17/2024,317.9,12/17/2024,297.8,12/17/2024,923.2,12/17/2024,"1,427.50",12/17/2024,152.1,12/17/2024,105.5,12/17/2024,295.5,12/17/2024,47.81,12/17/2024,89.86,12/17/2024,"11,540",12/17/2024,12.24,12/17/2024,42.7,12/17/2024,4.22,12/17/2024,10.56,12/17/2024,769.9,12/17/2024,412.7,12/17/2024,339.2,12/17/2024,"1,258.00",12/17/2024,223.7,12/17/2024,39.16,12/17/2024,205.4,12/17/2024,140.4,12/17/2024,153.85,12/17/2024,113.4,12/17/2024,216.2,12/17/2024,26.08,12/17/2024,94.4,12/17/2024,275.7,12/17/2024,799
12/16/2024,"2,662.04",12/16/2024,634.4,12/16/2024,470.4,12/16/2024,340.8,12/16/2024,"1,462.50",12/16/2024,177.3,12/16/2024,156.1,12/16/2024,323,12/16/2024,716.6,12/16/2024,832.4,12/16/2024,205.8,12/16/2024,"1,550.00",12/16/2024,321.8,12/16/2024,299.4,12/16/2024,913.4,12/16/2024,"1,442.50",12/16/2024,154.1,12/16/2024,106.2,12/16/2024,296.6,12/16/2024,48.34,12/16/2024,90.7,12/16/2024,"11,865",12/16/2024,12.31,12/16/2024,43.2,12/16/2024,4.261,12/16/2024,10.69,12/16/2024,777.3,12/16/2024,415.6,12/16/2024,340.3,12/16/2024,"1,280.00",12/16/2024,233.3,12/16/2024,39.64,12/16/2024,204.9,12/16/2024,140.1,12/16/2024,155,12/16/2024,113.9,12/16/2024,217.9,12/16/2024,26.06,12/16/2024,95.8,12/16/2024,274.9,12/16/2024,803
12/13/2024,"2,636.49",12/13/2024,634,12/13/2024,477.8,12/13/2024,341.7,12/13/2024,"1,458.50",12/13/2024,177.1,12/13/2024,156.3,12/13/2024,326.2,12/13/2024,722.6,12/13/2024,824.4,12/13/2024,204.9,12/13/2024,"1,541.50",12/13/2024,315.2,12/13/2024,298.1,12/13/2024,916.8,12/13/2024,"1,438.50",12/13/2024,156.4,12/13/2024,106.9,12/13/2024,296.9,12/13/2024,48.12,12/13/2024,90.82,12/13/2024,"12,050",12/13/2024,12.65,12/13/2024,43.7,12/13/2024,4.22,12/13/2024,10.685,12/13/2024,754,12/13/2024,417.2,12/13/2024,348.2,12/13/2024,"1,275.00",12/13/2024,231.8,12/13/2024,39.44,12/13/2024,208.5,12/13/2024,140.7,12/13/2024,155.2,12/13/2024,114.1,12/13/2024,219.1,12/13/2024,25.99,12/13/2024,95.6,12/13/2024,280.4,12/13/2024,780.5
12/12/2024,"2,676.25",12/12/2024,641.2,12/12/2024,478.9,12/12/2024,343.7,12/12/2024,"1,480.50",12/12/2024,178.9,12/12/2024,158.3,12/12/2024,328.7,12/12/2024,727.8,12/12/2024,825.2,12/12/2024,204,12/12/2024,"1,541.00",12/12/2024,316.8,12/12/2024,298.6,12/12/2024,933.6,12/12/2024,"1,488.00",12/12/2024,156.8,12/12/2024,109.3,12/12/2024,297.6,12/12/2024,49.11,12/12/2024,91,12/12/2024,"11,690",12/12/2024,12.88,12/12/2024,44.5,12/12/2024,4.234,12/12/2024,10.685,12/12/2024,784.5,12/12/2024,420.2,12/12/2024,354.3,12/12/2024,"1,266.00",12/12/2024,234,12/12/2024,39.54,12/12/2024,209.7,12/12/2024,142.8,12/12/2024,155.05,12/12/2024,114.05,12/12/2024,219.1,12/12/2024,26.4,12/12/2024,96.3,12/12/2024,283,12/12/2024,805
12/11/2024,"2,692.57",12/11/2024,645.2,12/11/2024,482,12/11/2024,343.9,12/11/2024,"1,482.50",12/11/2024,179.6,12/11/2024,158.9,12/11/2024,331.6,12/11/2024,731.4,12/11/2024,840.4,12/11/2024,203.5,12/11/2024,"1,540.00",12/11/2024,321.4,12/11/2024,298.2,12/11/2024,966.2,12/11/2024,"1,536.00",12/11/2024,160.6,12/11/2024,109,12/11/2024,299.6,12/11/2024,49.07,12/11/2024,90.72,12/11/2024,"11,915",12/11/2024,13.16,12/11/2024,46,12/11/2024,4.18,12/11/2024,10.59,12/11/2024,790.3,12/11/2024,422,12/11/2024,353,12/11/2024,"1,276.50",12/11/2024,233.2,12/11/2024,39.63,12/11/2024,213.2,12/11/2024,144.1,12/11/2024,155.1,12/11/2024,114.75,12/11/2024,219.4,12/11/2024,26.94,12/11/2024,98.3,12/11/2024,284,12/11/2024,765
12/10/2024,"2,689.40",12/10/2024,638,12/10/2024,480.9,12/10/2024,340.6,12/10/2024,"1,475.50",12/10/2024,179.5,12/10/2024,158.4,12/10/2024,332,12/10/2024,738.6,12/10/2024,841,12/10/2024,203.9,12/10/2024,"1,538.00",12/10/2024,323.5,12/10/2024,302.8,12/10/2024,984.8,12/10/2024,"1,556.50",12/10/2024,163.9,12/10/2024,108.4,12/10/2024,303,12/10/2024,48.92,12/10/2024,91.3,12/10/2024,"12,070",12/10/2024,13.27,12/10/2024,46.4,12/10/2024,4.186,12/10/2024,10.795,12/10/2024,782.5,12/10/2024,416.6,12/10/2024,360.6,12/10/2024,"1,262.50",12/10/2024,228.9,12/10/2024,39.72,12/10/2024,213.3,12/10/2024,142.9,12/10/2024,155.55,12/10/2024,116.6,12/10/2024,219.3,12/10/2024,26.81,12/10/2024,100.8,12/10/2024,284.9,12/10/2024,758
12/9/2024,"2,703.71",12/9/2024,646.8,12/9/2024,489.1,12/9/2024,344.6,12/9/2024,"1,493.00",12/9/2024,181.2,12/9/2024,161.5,12/9/2024,336,12/9/2024,727.2,12/9/2024,842.8,12/9/2024,203.4,12/9/2024,"1,524.50",12/9/2024,326.9,12/9/2024,304,12/9/2024,978.2,12/9/2024,"1,561.50",12/9/2024,163.4,12/9/2024,109,12/9/2024,305.1,12/9/2024,49.38,12/9/2024,91.92,12/9/2024,"12,075",12/9/2024,13.24,12/9/2024,47.4,12/9/2024,4.207,12/9/2024,10.925,12/9/2024,782.3,12/9/2024,414.6,12/9/2024,363.5,12/9/2024,"1,257.00",12/9/2024,230.9,12/9/2024,40.43,12/9/2024,215.8,12/9/2024,145.6,12/9/2024,156.75,12/9/2024,116.7,12/9/2024,220.8,12/9/2024,26.8,12/9/2024,102.4,12/9/2024,287.9,12/9/2024,770
12/6/2024,"2,700.93",12/6/2024,647,12/6/2024,494.7,12/6/2024,346.8,12/6/2024,"1,486.50",12/6/2024,180.3,12/6/2024,159.9,12/6/2024,327.3,12/6/2024,720.8,12/6/2024,857,12/6/2024,207.6,12/6/2024,"1,524.00",12/6/2024,326.9,12/6/2024,306,12/6/2024,971.4,12/6/2024,"1,549.00",12/6/2024,162.9,12/6/2024,107.8,12/6/2024,308.2,12/5/2024,49.58,12/6/2024,91.36,12/6/2024,"12,415",12/5/2024,13.18,12/6/2024,48.1,12/5/2024,4.101,12/5/2024,11.105,12/6/2024,785.5,12/6/2024,416.9,12/6/2024,363.2,12/6/2024,"1,215.00",12/6/2024,246.6,12/5/2024,41.42,12/6/2024,212.9,12/6/2024,144.3,12/6/2024,155.1,12/6/2024,116.55,12/6/2024,219.5,12/5/2024,26.27,12/6/2024,97.9,12/6/2024,286.8,12/6/2024,769.5
12/5/2024,"2,689.43",12/5/2024,642.6,12/5/2024,488.7,12/5/2024,345,12/5/2024,"1,470.50",12/5/2024,178.8,12/5/2024,158.6,12/5/2024,338.4,12/5/2024,719.4,12/5/2024,876,12/5/2024,209.2,12/5/2024,"1,534.00",12/5/2024,327.5,12/5/2024,308.6,12/5/2024,957.6,12/5/2024,"1,551.50",12/5/2024,162.9,12/5/2024,105.9,12/5/2024,305.8,12/4/2024,50,12/5/2024,91.96,12/5/2024,"12,520",12/4/2024,13.53,12/5/2024,46.8,12/4/2024,4.002,12/4/2024,10.9,12/5/2024,771,12/5/2024,415.4,12/5/2024,363,12/5/2024,"1,177.50",12/5/2024,248.6,12/4/2024,41.21,12/5/2024,211.4,12/5/2024,144.4,12/5/2024,156.3,12/5/2024,118.1,12/5/2024,221.6,12/4/2024,26.11,12/5/2024,97.3,12/5/2024,287,12/5/2024,756
12/4/2024,"2,685.36",12/4/2024,644.2,12/4/2024,490.3,12/4/2024,346.3,12/4/2024,"1,461.50",12/4/2024,180.7,12/4/2024,159.7,12/4/2024,339.5,12/4/2024,715,12/4/2024,886.8,12/4/2024,206,12/4/2024,"1,542.50",12/4/2024,322.3,12/4/2024,304.9,12/4/2024,951.2,12/4/2024,"1,528.50",12/4/2024,163.4,12/4/2024,103.3,12/4/2024,305.5,12/3/2024,50.12,12/4/2024,90.8,12/4/2024,"12,160",12/3/2024,13.98,12/4/2024,46.3,12/3/2024,4.029,12/3/2024,10.875,12/4/2024,780,12/4/2024,415.6,12/4/2024,365.9,12/4/2024,"1,187.50",12/4/2024,246.6,12/3/2024,41.17,12/4/2024,211.3,12/4/2024,145.7,12/4/2024,152.45,12/4/2024,116.65,12/4/2024,217.9,12/3/2024,25.84,12/4/2024,95.9,12/4/2024,285,12/4/2024,746.5
12/3/2024,"2,677.63",12/3/2024,637,12/3/2024,487.6,12/3/2024,343.1,12/3/2024,"1,507.50",12/3/2024,178,12/3/2024,157.6,12/3/2024,340.1,12/3/2024,737.4,12/3/2024,889.6,12/3/2024,203.8,12/3/2024,"1,536.50",12/3/2024,325.4,12/3/2024,305.2,12/3/2024,948.2,12/3/2024,"1,531.50",12/3/2024,158.5,12/3/2024,95.8,12/3/2024,305.1,12/2/2024,49.7,12/3/2024,90.74,12/3/2024,"12,540",12/2/2024,14.4,12/3/2024,46.5,12/2/2024,4.007,12/2/2024,10.8,12/3/2024,782.3,12/3/2024,412.9,12/3/2024,374.7,12/3/2024,"1,186.50",12/3/2024,247.4,12/2/2024,40.8,12/3/2024,209.5,12/3/2024,144.4,12/3/2024,153.15,12/3/2024,117.3,12/3/2024,219.6,12/2/2024,25.3,12/3/2024,107.7,12/3/2024,279,12/3/2024,730
12/2/2024,"2,663.11",12/2/2024,632.8,12/2/2024,477.4,12/2/2024,338.1,12/2/2024,"1,472.50",12/2/2024,177.1,12/2/2024,156.4,12/2/2024,328.3,12/2/2024,755.4,12/2/2024,898.8,12/2/2024,202.2,12/2/2024,"1,536.50",12/2/2024,324.2,12/2/2024,303.4,12/2/2024,941.8,12/2/2024,"1,551.50",12/2/2024,153.6,12/2/2024,94.6,12/2/2024,303.2,11/29/2024,49.06,12/2/2024,90.02,12/2/2024,"12,230",11/29/2024,14.4,12/2/2024,47.5,11/29/2024,3.98,11/29/2024,10.705,12/2/2024,775.8,12/2/2024,418.8,12/2/2024,381.4,12/2/2024,"1,164.00",12/2/2024,242,11/29/2024,40.54,12/2/2024,206.3,12/2/2024,143,12/2/2024,152.9,12/2/2024,115.2,12/2/2024,216.5,11/29/2024,24.9,12/2/2024,110.4,12/2/2024,276.7,12/2/2024,727
11/29/2024,"2,624.67",11/29/2024,619.6,11/29/2024,464.3,11/29/2024,334.9,11/29/2024,"1,471.00",11/29/2024,174.1,11/29/2024,154.1,11/29/2024,325.4,11/29/2024,726.8,11/29/2024,889.4,11/29/2024,202.7,11/29/2024,"1,507.00",11/29/2024,330.5,11/29/2024,300.2,11/29/2024,952,11/29/2024,"1,526.00",11/29/2024,151.3,11/29/2024,92.9,11/29/2024,299.3,11/28/2024,48.6,11/29/2024,88.68,11/29/2024,"11,975",11/28/2024,14.24,11/29/2024,46.2,11/28/2024,3.981,11/28/2024,10.705,11/29/2024,757.3,11/29/2024,413.7,11/29/2024,391.8,11/29/2024,"1,136.50",11/29/2024,238.9,11/28/2024,40.7,11/29/2024,201.7,11/29/2024,141.7,11/29/2024,151.5,11/29/2024,113.5,11/29/2024,213.8,11/28/2024,25.06,11/29/2024,109.7,11/29/2024,271.6,11/29/2024,730
11/28/2024,"2,608.69",11/28/2024,611.2,11/28/2024,465.8,11/28/2024,331.9,11/28/2024,"1,472.00",11/28/2024,172.3,11/28/2024,152.1,11/28/2024,321.9,11/28/2024,729,11/28/2024,891.8,11/28/2024,201.2,11/28/2024,"1,488.50",11/28/2024,315.8,11/28/2024,304,11/28/2024,975,11/28/2024,"1,511.00",11/28/2024,151.8,11/28/2024,92.2,11/28/2024,297.6,11/27/2024,48.26,11/28/2024,89.32,11/28/2024,"11,725",11/27/2024,14.19,11/28/2024,46.7,11/27/2024,3.958,11/27/2024,10.57,11/28/2024,747.6,11/28/2024,409.9,11/28/2024,395.4,11/28/2024,"1,117.50",11/28/2024,236.6,11/27/2024,40.3,11/28/2024,201.2,11/28/2024,139.9,11/28/2024,151.2,11/28/2024,113.8,11/28/2024,213.3,11/27/2024,25.01,11/28/2024,107.9,11/28/2024,272.4,11/28/2024,730
11/27/2024,"2,595.10",11/27/2024,606,11/27/2024,472,11/27/2024,327.2,11/27/2024,"1,460.00",11/27/2024,172.5,11/27/2024,152,11/27/2024,323.3,11/27/2024,736,11/27/2024,907.6,11/27/2024,197.1,11/27/2024,"1,484.00",11/27/2024,315.7,11/27/2024,305.6,11/27/2024,986.8,11/27/2024,"1,488.00",11/27/2024,152.1,11/27/2024,91,11/27/2024,297.2,11/26/2024,47.92,11/27/2024,89.28,11/27/2024,"11,445",11/26/2024,14.07,11/27/2024,46.7,11/26/2024,3.999,11/26/2024,10.56,11/27/2024,743.4,11/27/2024,414.4,11/27/2024,390.1,11/27/2024,"1,107.50",11/27/2024,238.8,11/26/2024,40.12,11/27/2024,200.4,11/27/2024,140.6,11/27/2024,149.1,11/27/2024,111.8,11/27/2024,210.4,11/26/2024,25.23,11/27/2024,103.8,11/27/2024,269.4,11/27/2024,727.5
11/26/2024,"2,603.66",11/26/2024,612.4,11/26/2024,468,11/26/2024,327.7,11/26/2024,"1,454.00",11/26/2024,172.9,11/26/2024,152.4,11/26/2024,323.5,11/26/2024,734.8,11/26/2024,894.2,11/26/2024,198.8,11/26/2024,"1,483.50",11/26/2024,313.4,11/26/2024,302.2,11/26/2024,990,11/26/2024,"1,457.50",11/26/2024,152.6,11/26/2024,92.1,11/26/2024,296.6,11/25/2024,48.64,11/26/2024,89.8,11/26/2024,"11,450",11/25/2024,14.18,11/26/2024,46.3,11/25/2024,4.021,11/25/2024,10.63,11/26/2024,758.8,11/26/2024,416.4,11/26/2024,378.5,11/26/2024,"1,117.00",11/26/2024,241.4,11/25/2024,40.03,11/26/2024,201,11/26/2024,140.8,11/26/2024,148.95,11/26/2024,110.35,11/26/2024,209.4,11/25/2024,25.9,11/26/2024,100.6,11/26/2024,267.6,11/26/2024,723
11/25/2024,"2,609.69",11/25/2024,617.6,11/25/2024,475.4,11/25/2024,331.7,11/25/2024,"1,449.50",11/25/2024,173.4,11/25/2024,152.1,11/25/2024,326.8,11/25/2024,751.8,11/25/2024,890.6,11/25/2024,199.7,11/25/2024,"1,483.50",11/25/2024,317.2,11/25/2024,302.2,11/25/2024,992.2,11/25/2024,"1,479.00",11/25/2024,154.1,11/25/2024,93.2,11/25/2024,297.6,11/22/2024,49.06,11/25/2024,89.2,11/25/2024,"11,640",11/22/2024,14.27,11/25/2024,48.6,11/22/2024,4.011,11/22/2024,10.625,11/25/2024,745.4,11/25/2024,427.1,11/25/2024,393.6,11/25/2024,"1,123.50",11/25/2024,236.9,11/22/2024,39.89,11/25/2024,203.2,11/25/2024,145.3,11/25/2024,150.55,11/25/2024,110.95,11/25/2024,210.3,11/22/2024,25.65,11/25/2024,104,11/25/2024,269.7,11/25/2024,738.5
11/22/2024,"2,615.49",11/22/2024,621.4,11/22/2024,475.4,11/22/2024,332.3,11/22/2024,"1,462.00",11/22/2024,174.1,11/22/2024,153.2,11/22/2024,319.2,11/22/2024,737.8,11/22/2024,891.6,11/22/2024,201.9,11/22/2024,"1,504.00",11/22/2024,307.1,11/22/2024,302.2,11/22/2024,983.6,11/22/2024,"1,483.50",11/22/2024,155.4,11/22/2024,91.9,11/22/2024,298.5,11/21/2024,48.49,11/22/2024,89.16,11/22/2024,"12,005",11/21/2024,14.22,11/22/2024,45.8,11/21/2024,3.965,11/21/2024,10.645,11/22/2024,750.9,11/22/2024,425.7,11/22/2024,388.5,11/22/2024,"1,120.00",11/22/2024,244.5,11/21/2024,39.65,11/22/2024,202.6,11/22/2024,142.1,11/22/2024,150.85,11/22/2024,110.8,11/22/2024,212.9,11/21/2024,25.32,11/22/2024,99.5,11/22/2024,271.5,11/22/2024,726.5
11/21/2024,"2,563.26",11/21/2024,618.6,11/21/2024,476.5,11/21/2024,327.2,11/21/2024,"1,413.50",11/21/2024,172.7,11/21/2024,151.5,11/21/2024,317.5,11/21/2024,722.8,11/21/2024,873.2,11/21/2024,203.5,11/21/2024,"1,510.00",11/21/2024,299.4,11/21/2024,298.9,11/21/2024,977,11/21/2024,"1,447.50",11/21/2024,153.6,11/21/2024,91.1,11/21/2024,296.9,11/20/2024,48.63,11/21/2024,87.96,11/21/2024,"11,850",11/20/2024,13.92,11/21/2024,44.9,11/20/2024,4.033,11/20/2024,10.625,11/21/2024,721.8,11/21/2024,410,11/21/2024,383.1,11/21/2024,"1,086.00",11/21/2024,248,11/20/2024,39.79,11/21/2024,202.3,11/21/2024,140.7,11/21/2024,151.85,11/21/2024,110.6,11/21/2024,214.8,11/20/2024,25.36,11/21/2024,99.3,11/21/2024,269.4,11/21/2024,697
11/20/2024,"2,571.21",11/20/2024,611,11/20/2024,466.3,11/20/2024,327,11/20/2024,"1,409.00",11/20/2024,171.6,11/20/2024,150.6,11/20/2024,317.6,11/20/2024,722,11/20/2024,881,11/20/2024,205.2,11/20/2024,"1,524.00",11/20/2024,294.4,11/20/2024,298,11/20/2024,980.6,11/20/2024,"1,445.00",11/20/2024,153,11/20/2024,92.2,11/20/2024,295,11/19/2024,48.7,11/20/2024,87.86,11/20/2024,"12,290",11/19/2024,13.66,11/20/2024,45.6,11/19/2024,3.97,11/19/2024,10.725,11/20/2024,738.1,11/20/2024,405.3,11/20/2024,385.2,11/20/2024,"1,080.00",11/20/2024,243.1,11/19/2024,39.75,11/20/2024,201.1,11/20/2024,141.3,11/20/2024,151,11/20/2024,110.05,11/20/2024,214.1,11/19/2024,25.61,11/20/2024,101,11/20/2024,264.4,11/20/2024,710.5
11/19/2024,"2,562.67",11/19/2024,606.8,11/19/2024,467.6,11/19/2024,324.9,11/19/2024,"1,398.50",11/19/2024,173,11/19/2024,151.6,11/19/2024,318.6,11/19/2024,714.8,11/19/2024,893.2,11/19/2024,204.5,11/19/2024,"1,495.00",11/19/2024,291.9,11/19/2024,296.1,11/19/2024,984.2,11/19/2024,"1,446.00",11/19/2024,152.9,11/19/2024,93,11/19/2024,295.9,11/18/2024,48.93,11/19/2024,88.6,11/19/2024,"12,135",11/18/2024,13.9,11/19/2024,47.5,11/18/2024,4.21,11/18/2024,10.83,11/19/2024,725,11/19/2024,398.6,11/19/2024,379.7,11/19/2024,"1,068.50",11/19/2024,248.7,11/18/2024,40.15,11/19/2024,202.4,11/19/2024,142,11/19/2024,149.85,11/19/2024,110.5,11/19/2024,214.3,11/18/2024,25.93,11/19/2024,98.6,11/19/2024,266.7,11/19/2024,674.5
